TRANSACTION_DATE,BTAG,PLAYER_ID,PLAYER_CURRENCY,ROLLBACKS,FIRST_DEPOSIT_AMOUNT,TOTAL_DEPOSITS,SPORTSBOOK_BETS,SPORTSBOOK_STAKE,SPORTSBOOK_GROSS_REVENUE,SPORTSBOOK_BONUS,SPORTSBOOK_NET_REVENUE,CRASH_BETS,CRASH_STAKE,CRASH_GROSS_REVENUE,CRASH_BONUS,CRASH_NET_REVENUE,CASINO_BETS,CASINO_STAKE,CASINO_GROSS_REVENUE,CASINO_BONUS,CASINO_NET_REVENUE,VIRTUALS_BETS,VIRTUALS_STAKES,VIRTUALS_GROSS_REVENUE,VIRTUALS_BONUS,VIRTUALS_NET_REVENUE
2024-09-01,wZ0a7Edd0pL2CewEVvY5WmNd7ZgqdRLk,541183,GHS,0,0.0,0.0,1.0,1.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,o8l1-HD4IGRsqP6YI9Us1mNd7ZgqdRLk,851355,GHS,0,0.0,1.0,3.0,1.5,-4.1925,0.0,-4.1925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,8befIqk7fp3YPJvoEoWlxWNd7ZgqdRLk,998117,GHS,0,0.0,10.0,1.0,1.0,0.75,0.0,0.75,3.0,9.0,6.75,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,FNcv4PXSnzGDgwhbnjJ9HWNd7ZgqdRLk,1036921,GHS,0,0.0,742.0,0.0,0.0,0.0,0.0,0.0,117.0,268.33,115.035,0.0,115.035,0.0,0.0,0.0,0.0,0.0,97.0,1940.0,267.0,0.0,267.0
2024-09-01,TsLI0RkiLv-p_PkFKJYeImNd7ZgqdRLk,1081109,GHS,0,0.0,0.0,5.0,23.45,-5.175,0.0,-5.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,JHtYwk-moYWi2XD1VZJmYWNd7ZgqdRLk,1190970,GHS,0,0.0,1.71,2.0,2.21,1.6575,0.0,1.6575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,jDeXiz4Gzx5E9AgU565rUmNd7ZgqdRLk,1454628,GHS,0,0.0,5.0,1.0,5.0,3.75,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,_LaWcw035GFNQtR1QSRAn2Nd7ZgqdRLk,1457448,GHS,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,vnhmJ9NHnw-5-K1Jga1GTGNd7ZgqdRLk,1474819,GHS,0,0.0,108.0,2.0,102.0,76.5,0.0,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,gk4MQBD_IhNkcpBk1aZFmGNd7ZgqdRLk,1556872,GHS,0,0.0,35.0,7.0,35.0,26.25,0.0,26.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,fIsgqsifcL42LI45HgvoY2Nd7ZgqdRLk,1570469,GHS,0,0.0,1.0,1.0,1.75,1.3125,0.0,1.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,h5DXUNxTXILcrJd7z9h2bmNd7ZgqdRLk,1655692,GHS,0,0.0,20.0,2.0,20.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,LqbVc9hrSqpiFj3Ln7_wJ2Nd7ZgqdRLk,1670812,GHS,0,0.0,2.0,3.0,1.5,1.125,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,luH0wvPXdW1qC8IE5zv_aWNd7ZgqdRLk,1785469,GHS,0,0.0,0.0,9.0,5.0,3.75,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,cg9bwxroVe2KGPQPxVh9p2Nd7ZgqdRLk,1812848,GHS,0,0.0,2.0,1.0,2.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,gFgteDYtnaW1UDLXESTXhmNd7ZgqdRLk,1833732,GHS,0,0.0,50.0,3.0,50.0,37.5,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,W62kyN0_MRLSZjfe8BCoJWNd7ZgqdRLk,1863578,GHS,0,0.0,12.0,12.0,13.89,10.4175,0.0,10.4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,QmLWZqIeemHHgj1ILWwM_mNd7ZgqdRLk,1905223,GHS,0,0.0,2.0,1.0,1.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,FNcv4PXSnzGDgwhbnjJ9HWNd7ZgqdRLk,1917021,GHS,0,0.0,4.0,2.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,hyA6oanZq8Ilb3vAuUmCP2Nd7ZgqdRLk,1929956,GHS,0,0.0,5.0,1.0,5.0,3.75,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,59AvNUrJf48l7cC35Ir1KWNd7ZgqdRLk,1935753,GHS,0,0.0,39.0,5.0,39.0,29.25,0.0,29.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,GE9Psk7LWfIzEa8iwbXEY2Nd7ZgqdRLk,1946674,GHS,0,0.0,10.0,1.0,10.0,7.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,CZmcKGPmEM29D_UvnlOCsWNd7ZgqdRLk,1953298,GHS,0,0.0,3.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,m20RVUJV09XKID4mYh7pCWNd7ZgqdRLk,1953883,GHS,0,0.0,7.0,4.0,7.0,5.25,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,uZ4XqyoZZ6DeSQV-2MxRMmNd7ZgqdRLk,1958448,GHS,0,0.0,11.0,2.0,11.0,8.25,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,6qvu2JEZ7CI3zMgVddDm3mNd7ZgqdRLk,1962449,GHS,0,0.0,2.0,1.0,2.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,fVpKZkU72xVyQPT6e0Lq4GNd7ZgqdRLk,1998907,GHS,0,0.0,1.0,1.0,1.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,H52rkvyQHRrTXA6Qj2nHO2Nd7ZgqdRLk,2005431,GHS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,37.5,0.0,37.5,126.0,635.0,103.6875,0.0,103.6875,0.0,0.0,0.0,0.0,0.0
2024-09-01,p-Umh-MsTtxxCc54H4As5mNd7ZgqdRLk,2009577,GHS,0,0.0,5.0,2.0,5.0,3.75,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,j6U9CEr21wObF5a97bJQNGNd7ZgqdRLk,2018046,GHS,0,0.0,26.0,6.0,5.62,3.42,0.0,3.42,123.0,147.32,-0.0075,0.0,-0.0075,31.0,19.05,4.0875,0.0,4.0875,0.0,0.0,0.0,0.0,0.0
2024-09-01,FNcv4PXSnzGDgwhbnjJ9HWNd7ZgqdRLk,2020886,GHS,0,0.0,10.0,1.0,10.0,7.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,z9QeFvUKREDu6xvMCE63xmNd7ZgqdRLk,2025921,GHS,0,0.0,10.0,6.0,6.5,4.875,0.0,4.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,uonhS9i-_oVWWj0kEC1jgWNd7ZgqdRLk,2034209,GHS,0,0.0,26.0,5.0,21.0,15.75,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,6TJbVvytEbOu0IITvtwTUGNd7ZgqdRLk,2036243,GHS,0,0.0,5.0,3.0,9.36,-17.28,0.0,-17.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,1UE2pnW6as2yiHG6BA5yaGNd7ZgqdRLk,2040348,GHS,0,0.0,2.0,1.0,1.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,ozcdEuCUvSWN4d5ji-tZvmNd7ZgqdRLk,2051504,GHS,0,0.0,15.0,16.0,14.0,10.5,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,3ENMRESgdTn5jNGUUlMrmmNd7ZgqdRLk,2055089,GHS,0,0.0,12.0,3.0,12.0,-8.61,0.0,-8.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,1UE2pnW6as2yiHG6BA5yaGNd7ZgqdRLk,2058929,GHS,0,0.0,7.0,14.0,196.57,0.795,0.0,0.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,Q_Ih6VHAL4xdZaYy7nuXo2Nd7ZgqdRLk,2059422,GHS,0,0.0,21.0,5.0,19.57,14.6775,0.0,14.6775,3.0,3.0,-1.9275,0.0,-1.9275,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,3.0
2024-09-01,CROBFnHtJvCgoGiI18kSsmNd7ZgqdRLk,2062212,GHS,0,0.0,5.0,1.0,5.5,4.125,0.0,4.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,zellXi3muCWb40bVW30aM2Nd7ZgqdRLk,2062281,GHS,0,0.0,11.0,6.0,21.0,15.75,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,F7kRBv-EKdiXCtCQWl0xYWNd7ZgqdRLk,2062826,GHS,0,0.0,2.0,2.0,2.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,cC6Oh3s9lysmgAGXx9ADt2Nd7ZgqdRLk,2066632,GHS,0,0.0,0.0,1.0,1.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,DePMX-ngE1eH0k2y7R68nWNd7ZgqdRLk,2078849,GHS,0,0.0,0.0,1.0,1.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,oCrxNWQnkFDil4OLplMNvmNd7ZgqdRLk,2079616,GHS,0,0.0,4.0,1.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,FNcv4PXSnzGDgwhbnjJ9HWNd7ZgqdRLk,2080058,GHS,0,0.0,5.0,2.0,2.03,1.5225,0.0,1.5225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,eBRg0m9rF8T5r6pfTzHZpGNd7ZgqdRLk,2085823,GHS,0,0.0,10.0,19.0,10.17,7.6275,0.0,7.6275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,H4pPgMeleGjDwck0BePQQ2Nd7ZgqdRLk,2089313,GHS,0,0.0,3.0,2.0,3.0,2.25,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,FNcv4PXSnzGDgwhbnjJ9HWNd7ZgqdRLk,2092765,GHS,0,0.0,3.0,2.0,3.0,2.25,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,nE5IpOshUnPtPCpIdxC8mmNd7ZgqdRLk,2101539,GHS,0,0.0,16.0,5.0,17.5,13.125,0.0,13.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
