TRANSACTION_DATE,BTAG,PLAYER_ID,PLAYER_CURRENCY,ROLLBACKS,FIRST_DEPOSIT_AMOUNT,DEPOSITS,SPORTSBOOK_BETS,SPORTSBOOK_STAKE,SPORTSBOOK_GROSS_REVENUE,SPORTSBOOK_BONUS,SPORTSBOOK_NET_REVENUE,CRASH_BETS,CRASH_STAKE,CRASH_GROSS_REVENUE,CRASH_BONUS,CRASH_NET_REVENUE,CASINO_BETS,CASINO_STAKE,CASINO_GROSS_REVENUE,CASINO_BONUS,CASINO_NET_REVENUE,VIRTUALS_BETS,VIRTUALS_STAKES,VIRTUALS_GROSS_REVENUE,VIRTUALS_BONUS,VIRTUALS_NET_REVENUE
2024-07-02,sCufuDFV_V9v4hsPdAWJemNd7ZgqdRLk,2157285,GHS,0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,Bcn2UrOoQKKkXQOxDaxkkWNd7ZgqdRLk,2183166,GHS,0,0.0,3.0,20.0,30.0,2.6775,0.0,2.6775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,PUm--X7jAVUpkxisvin0vmNd7ZgqdRLk,2183749,GHS,0,0.0,1413.0,0.0,0.0,0.0,0.0,0.0,610.0,4563.47,603.345,0.0,603.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,_j9WCRly4Suc8DIVitz8MWNd7ZgqdRLk,2188879,GHS,0,0.0,186.28,1.0,10.0,7.5,0.0,7.5,564.0,1139.09,126.9675,0.0,126.9675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,rmCHcPSk_7V0fXVQBBvyPGNd7ZgqdRLk,2213148,GHS,0,0.0,0.0,2.0,5.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,eJcRrSfH3qoZ8tHbjozSkGNd7ZgqdRLk,2214764,GHS,0,0.0,588.0,0.0,0.0,0.0,0.0,0.0,384.0,3440.0,13.6875,0.0,13.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,WIPaV6r2cowMlhV5xN0CdGNd7ZgqdRLk,2220781,GHS,0,0.0,30.0,3.0,30.0,22.5,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,_K01_kHWbyS2oxgWi0K7D2Nd7ZgqdRLk,2221466,GHS,0,0.0,17.0,1.0,1.0,0.75,0.0,0.75,81.0,96.5,11.8875,0.0,11.8875,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-0.2025,0.0,-0.2025
2024-07-02,qgtszlccNeF4d4u-U3syN2Nd7ZgqdRLk,2239716,GHS,0,0.0,25.0,5.0,25.0,9.75,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,5k8CIw0qP0YefclvrDxfMmNd7ZgqdRLk,2271708,GHS,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,54.0,285.0,75.15,0.0,75.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,8TISOdhOTuJGHX7YLtBQ3WNd7ZgqdRLk,2277252,GHS,0,0.0,5.0,1.0,3.1,2.325,0.0,2.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,3C_758AUtEdV3nqAqj6ED2Nd7ZgqdRLk,2357618,GHS,0,0.0,4.0,2.0,3.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.285,0.0,0.285
2024-07-02,oHc1jdAaAz36YVp-Jg7NHGNd7ZgqdRLk,2420580,GHS,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,4MRxjHfaqY7p9_r1jqVWa2Nd7ZgqdRLk,2429109,GHS,0,0.0,102.0,2.0,102.2,76.65,0.0,76.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,lbJXQoVsXGd1buKJJvgpc2Nd7ZgqdRLk,2434784,GHS,0,0.0,0.0,1.0,0.74,0.555,0.0,0.555,387.0,253.2,12.57,0.0,12.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,qrgbSzkrR6ITRXC85dzO3WNd7ZgqdRLk,2458503,GHS,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,C5gw80CGCPegFBDRtZAmQWNd7ZgqdRLk,2475036,GHS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,So7kQcmc4n0u2KsKcQY6ZWNd7ZgqdRLk,2511731,GHS,0,0.0,1.0,1.0,1.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,IGhvFNEI6dNTzq_TFb0UEGNd7ZgqdRLk,2519832,GHS,0,0.0,2.0,1.0,2.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,Di2kv0Zeg_sK9Y4WACKpYmNd7ZgqdRLk,2546331,GHS,0,0.0,5.0,1.0,5.0,3.75,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
